#FID IID
2968751 2968751
2922465 2922465
3263438 3263438
4698635 4698635
5039539 5039539
1985844 1985844
4469676 4469676
4130385 4130385
1452403 1452403
5901134 5901134
2289304 2289304
5402055 5402055
4071183 4071183
3612686 3612686
3374156 3374156
2590287 2590287
1874158 1874158
3367181 3367181
4169682 4169682
4516217 4516217
3687814 3687814
3531192 3531192
5713924 5713924
2214719 2214719
3585288 3585288
3715230 3715230
4328972 4328972
4426543 4426543
1261779 1261779
1956542 1956542
1899763 1899763
4553785 4553785
2871171 2871171
2564811 2564811
3391408 3391408
1545689 1545689
1388684 1388684
2195005 2195005
4359583 4359583
4077487 4077487
2683975 2683975
4834490 4834490
3935330 3935330
5701132 5701132
4888079 4888079
2337063 2337063
2753676 2753676
2445510 2445510
4672876 4672876
1789741 1789741
1162209 1162209
3276189 3276189
3494333 3494333
2542349 2542349
2535417 2535417
2456823 2456823
3892266 3892266
2172322 2172322
2345799 2345799
3649032 3649032
1341830 1341830
5702781 5702781
5260514 5260514
1495398 1495398
1210649 1210649
4047973 4047973
5041934 5041934
3290357 3290357
3565539 3565539
4141458 4141458
2280863 2280863
1408792 1408792
4508937 4508937
4260082 4260082
2604077 2604077
1770806 1770806
4464532 4464532
3438854 3438854
1592221 1592221
5338876 5338876
1397609 1397609
1353472 1353472
5575371 5575371
2818137 2818137
3600931 3600931
2265672 2265672
4719713 4719713
3089474 3089474
3904390 3904390
2781641 2781641
5781289 5781289
5689405 5689405
2576178 2576178
5085894 5085894
5524139 5524139
1931770 1931770
4820800 4820800
2659787 2659787
5092668 5092668
5086895 5086895
1930204 1930204
2781354 2781354
2297177 2297177
5856497 5856497
3531658 3531658
5539677 5539677
2913625 2913625
5603303 5603303
3433796 3433796
2633522 2633522
3353952 3353952
2624365 2624365
2703790 2703790
2384919 2384919
3255573 3255573
3636479 3636479
5208757 5208757
2574397 2574397
4794010 4794010
1391506 1391506
1854899 1854899
1480501 1480501
1849567 1849567
2096709 2096709
3899957 3899957
3693448 3693448
4765841 4765841
4536882 4536882
5879047 5879047
1835913 1835913
5949135 5949135
3274294 3274294
4354120 4354120
2773084 2773084
3482485 3482485
2085880 2085880
3541053 3541053
5421929 5421929
2868667 2868667
2566440 2566440
4792667 4792667
3868248 3868248
5183975 5183975
5787899 5787899
1862392 1862392
3275284 3275284
5646844 5646844
2882695 2882695
2509591 2509591
4495655 4495655
2957889 2957889
5487761 5487761
4152848 4152848
5430384 5430384
6004108 6004108
5851781 5851781
3325062 3325062
3726707 3726707
4729491 4729491
2315192 2315192
2761908 2761908
